modelo,accuracy,sesgo,varianza,f1_inicial,f1_primario,f1_secundario,f1_superior
arbol_default,0.5339047138895892,0.9978,0.4639,0.8059701492537313,0.32965606748864373,0.6044582685329186,0.4170673076923077
arbol_mejorado,0.601209982354424,0.6527,0.0515,0.8498074454428755,0.2983583154889365,0.6687036228721082,0.5341296928327646
bosque_default,0.617091000756239,0.8911,0.274,0.857843137254902,0.3201153568853641,0.685177087888063,0.5341400172860847
bosque_mejorado,0.6211242752709857,0.9065,0.2854,0.8602941176470589,0.3304473304473304,0.6881155613919895,0.5365434221840069
