,precision,recall,f1-score,support
inicial,0.9486486486486486,0.7869955156950673,0.8602941176470589,446.0
primario,0.5612745098039216,0.23415132924335377,0.3304473304473304,978.0
secundario,0.5618298784846318,0.8876341050254094,0.6881155613919895,1771.0
superior,0.7979539641943734,0.40414507772020725,0.5365434221840069,772.0
accuracy,0.6211242752709857,0.6211242752709857,0.6211242752709857,0.6211242752709857
macro avg,0.7174267502828938,0.5782315069210094,0.6038501079175964,3967.0
weighted avg,0.6511330837004972,0.6211242752709857,0.5897990538944653,3967.0
