,precision,recall,f1-score,support
inicial,0.9459459459459459,0.7847533632286996,0.857843137254902,446.0
primario,0.5427872860635696,0.22699386503067484,0.3201153568853641,978.0
secundario,0.5590438815554762,0.8848108413325805,0.685177087888063,1771.0
superior,0.8025974025974026,0.40025906735751293,0.5341400172860847,772.0
accuracy,0.617091000756239,0.617091000756239,0.617091000756239,0.617091000756239
macro avg,0.7125936290405985,0.574204284237367,0.5993188998286034,3967.0
weighted avg,0.645931375523571,0.617091000756239,0.5851967668878723,3967.0
