,precision,recall,f1-score,support
inicial,0.8258823529411765,0.7869955156950673,0.8059701492537313,446.0
primario,0.4511545293072824,0.25971370143149286,0.32965606748864373,978.0
secundario,0.5586966938188788,0.6583850931677019,0.6044582685329186,1771.0
superior,0.3890134529147982,0.4494818652849741,0.4170673076923077,772.0
accuracy,0.5339047138895892,0.5339047138895892,0.5339047138895892,0.5339047138895892
macro avg,0.556186757245534,0.538644043894809,0.5392879482419004,3967.0
weighted avg,0.5292016358653252,0.5339047138895892,0.5228983805599491,3967.0
