,precision,recall,f1-score,support
inicial,0.9977578475336323,0.9977578475336323,0.9977578475336323,446.0
primario,0.926711668273867,0.9826175869120655,0.9538461538461539,978.0
secundario,0.9479283314669653,0.955957086391869,0.9519257801518133,1771.0
superior,0.9025787965616046,0.8160621761658031,0.8571428571428572,772.0
accuracy,0.9400050415931435,0.9400050415931435,0.9400050415931435,0.9400050415931435
macro avg,0.9437441609590171,0.9380986742508424,0.9401681596686141,3967.0
weighted avg,0.939474645209326,0.9400050415931435,0.9391067256931398,3967.0
