,precision,recall,f1-score,support
1,1.0,0.9596412556053812,0.9794050343249427,446.0
2,0.8585951940850277,0.9498977505112475,0.9019417475728155,978.0
3,0.9055982436882547,0.9316770186335404,0.9184525466184248,1771.0
4,0.9244094488188976,0.7603626943005182,0.8343994314143568,772.0
accuracy,0.9059742878749685,0.9059742878749685,0.9059742878749685,0.9059742878749685
macro avg,0.9221507216480451,0.9003946797626718,0.9085496899826351,3967.0
weighted avg,0.9082845182443269,0.9059742878749685,0.904877614204248,3967.0
